City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,38.03,65,60,38.34,TF,1685998842
1,udachny,66.4167,112.4,32.45,92,90,15.19,RU,1685998842
2,cambria,35.5641,-121.0808,65.14,83,100,5.19,US,1685998811
3,puerto natales,-51.7236,-72.4875,34.84,88,19,4.52,CL,1685998602
4,namibe,-15.1961,12.1522,66.15,80,5,15.03,AO,1685998842
5,isafjordur,66.0755,-23.124,38.68,92,100,5.88,IS,1685998843
6,saint-philippe,-21.3585,55.7679,71.19,95,75,7.43,RE,1685998843
7,changli,39.7042,119.1506,70.0,38,15,7.67,CN,1685998843
8,anadyr,64.75,177.4833,41.5,86,100,15.66,RU,1685998843
9,jamestown,42.097,-79.2353,70.52,38,0,8.05,US,1685998723
10,bilibino,68.0546,166.4372,51.58,70,100,2.64,RU,1685998844
11,grytviken,-54.2811,-36.5092,39.06,95,100,2.91,GS,1685998844
12,luanda,-8.8368,13.2343,75.2,69,75,5.75,AO,1685998844
13,kavaratti,10.5669,72.642,84.69,73,99,10.56,IN,1685998844
14,lata,40.1629,-8.3327,64.08,86,100,3.11,PT,1685998845
15,upington,-28.4478,21.2561,44.98,57,66,3.44,ZA,1685998845
16,ilulissat,69.2167,-51.1,30.22,86,75,10.36,GL,1685998845
17,west island,-12.1568,96.8225,78.78,78,75,18.41,CC,1685998845
18,petropavlovsk-kamchatsky,53.0452,158.6483,41.59,87,75,2.24,RU,1685998845
19,alofi,-19.0595,-169.9187,76.89,73,40,10.36,NU,1685998846
20,albany,42.6001,-73.9662,72.57,44,100,7.49,US,1685998611
21,crane,31.3974,-102.3501,83.03,35,62,11.52,US,1685998846
22,nogliki,51.8333,143.1667,51.4,68,99,17.65,RU,1685998846
23,el calafate,-50.3408,-72.2768,38.88,86,95,1.72,AR,1685998846
24,stanley,54.868,-1.6985,51.53,81,75,5.75,GB,1685998846
25,puerto ayora,-0.7393,-90.3518,84.16,92,86,10.0,EC,1685998847
26,san antonio de pale,-1.4014,5.6325,77.47,87,49,10.92,GQ,1685998847
27,boa vista,2.8197,-60.6733,87.78,62,40,4.61,BR,1685998847
28,longyearbyen,78.2186,15.6401,37.24,65,20,16.11,SJ,1685998847
29,talnakh,69.4865,88.3972,43.21,68,100,8.52,RU,1685998847
30,waddan,29.1614,16.139,91.36,18,100,16.67,LY,1685998847
31,kerikeri,-35.2268,173.9474,52.92,93,100,1.01,NZ,1685998848
32,glen innes,-29.7333,151.7333,42.12,92,10,8.32,AU,1685998848
33,papatowai,-46.5619,169.4708,39.6,93,9,2.33,NZ,1685998848
34,yellowknife,62.456,-114.3525,70.32,60,75,9.22,CA,1685998822
35,murzuq,25.9155,13.9184,92.25,10,100,8.52,LY,1685998848
36,flying fish cove,-10.4217,105.6791,76.68,73,100,9.22,CX,1685998848
37,dudinka,69.4058,86.1778,43.63,62,100,6.91,RU,1685998849
38,blackmans bay,-43.0167,147.3167,50.74,84,100,6.78,AU,1685998849
39,bako,5.7833,36.5667,64.54,77,87,5.55,ET,1685998849
40,santa cruz,-17.8,-63.1667,83.66,54,20,6.91,BO,1685998849
41,morinville,53.8001,-113.652,67.8,64,75,11.5,CA,1685998827
42,ribeira grande,38.5167,-28.7,70.2,73,40,18.41,PT,1685998850
43,castillos,-34.1667,-53.8333,50.86,74,67,4.43,UY,1685998850
44,rongelap,11.1635,166.8941,81.79,81,78,13.96,MH,1685998850
45,invercargill,-46.4,168.35,34.39,98,52,1.92,NZ,1685998850
46,sarangani,5.4033,125.4636,82.45,76,82,8.3,PH,1685998850
47,nizhnyaya poyma,56.1622,97.1933,57.67,98,58,3.69,RU,1685998851
48,cabo san lucas,22.8909,-109.9124,94.6,44,4,14.16,MX,1685998851
49,aasiaat,68.7098,-52.8699,31.8,77,98,12.66,GL,1685998851
50,grand falls-windsor,48.9332,-55.6649,59.5,75,100,3.0,CA,1685998796
51,susuman,62.7833,148.1667,53.91,45,14,9.6,RU,1685998851
52,enewetak,11.3474,162.3373,81.07,83,78,8.55,MH,1685998852
53,fort st. john,56.2499,-120.8529,55.29,35,75,8.05,CA,1685998779
54,edinburgh of the seven seas,-37.0676,-12.3116,54.54,79,100,27.2,SH,1685998852
55,thompson,55.7435,-97.8558,73.56,64,75,3.44,CA,1685998852
56,alaghsas,17.0187,8.0168,100.29,22,74,5.75,NE,1685998852
57,ta`u,-14.2336,-169.5144,81.82,73,40,16.33,AS,1685998853
58,ola,59.5833,151.2833,48.15,52,80,3.76,RU,1685998853
59,arno,60.1167,18.6333,49.28,82,74,7.85,SE,1685998853
60,colindres,43.3864,-3.4353,67.5,84,100,0.67,ES,1685998567
61,adamstown,-25.066,-130.1015,69.87,59,84,21.18,PN,1685998854
62,avarua,-21.2078,-159.775,75.25,53,9,5.75,CK,1685998854
63,margaret river,-33.95,115.0667,53.62,62,100,25.9,AU,1685998854
64,papao,-17.75,-149.55,83.88,65,60,6.76,PF,1685998854
65,lycksele,64.5954,18.6735,44.47,53,69,10.36,SE,1685998855
66,gadzhiyevo,69.2551,33.3362,36.97,97,100,23.4,RU,1685998855
67,sortavala,61.7053,30.6918,45.46,64,69,5.5,RU,1685998855
68,hithadhoo,-0.6,73.0833,82.44,74,100,3.27,MV,1685998855
69,alice springs,-23.7,133.8833,62.15,63,10,0.0,AU,1685998855
70,chonchi,-42.6128,-73.8092,51.12,94,100,11.34,CL,1685998856
71,moranbah,-22.0016,148.0466,59.31,99,49,14.34,AU,1685998856
72,gamba,-2.65,10.0,72.81,94,100,5.93,GA,1685998856
73,waitangi,-43.9535,-176.5597,50.83,87,100,15.9,NZ,1685998856
74,al mishkhab,31.8042,44.4911,91.51,19,22,9.33,IQ,1685998856
75,hawaiian paradise park,19.5933,-154.9731,81.03,73,100,1.99,US,1685998857
76,gorontalo,0.5412,123.0595,74.07,95,35,2.37,ID,1685998857
77,san juan nepomuceno,9.9516,-75.082,81.57,83,100,8.41,CO,1685998857
78,kailua-kona,19.6406,-155.9956,81.28,77,40,8.05,US,1685998728
79,mount gambier,-37.8333,140.7667,55.42,95,27,7.74,AU,1685998858
80,an nuhud,12.7,28.4333,86.97,46,68,16.87,SD,1685998858
81,bredasdorp,-34.5322,20.0403,49.3,76,91,2.55,ZA,1685998810
82,magadan,59.5667,150.8,47.53,56,61,3.31,RU,1685998858
83,kruisfontein,-34.0033,24.7314,50.41,73,100,3.87,ZA,1685998858
84,cururupu,-1.8283,-44.8683,77.54,86,11,3.83,BR,1685998594
85,tenno,39.9,139.9667,62.42,81,0,14.99,JP,1685998859
86,whitehorse,60.7161,-135.0538,57.97,58,100,12.66,CA,1685998700
87,hastings,50.8552,0.5729,53.98,36,0,10.2,GB,1685998859
88,punta arenas,-53.15,-70.9167,41.11,86,94,6.26,CL,1685998797
89,qaqortoq,60.7167,-46.0333,36.18,85,92,5.97,GL,1685998860
90,la passe,45.5549,-0.8967,75.43,66,9,5.86,FR,1685998860
91,vorgashor,67.5833,63.95,47.01,69,8,15.48,RU,1685998860
92,buala,-8.145,159.5921,82.22,80,13,10.2,SB,1685998860
93,san luis de la loma,17.2706,-100.8939,93.31,49,0,8.86,MX,1685998860
94,dunedin,-45.8742,170.5036,41.81,87,58,1.01,NZ,1685998832
95,lebu,-37.6167,-73.65,56.12,86,100,11.54,CL,1685998861
96,rio gallegos,-51.6226,-69.2181,48.25,40,0,14.97,AR,1685998861
97,alexandria,31.2156,29.9553,68.54,72,61,6.51,EG,1685998565
98,aksu,41.1231,80.2644,71.64,24,3,4.16,CN,1685998862
99,borogontsy,62.6683,131.1683,51.28,62,69,9.57,RU,1685998862
100,shumikha,55.2261,63.2961,60.03,84,0,7.52,RU,1685998862
101,broome,42.2506,-75.833,73.09,35,97,8.99,US,1685998863
102,zaragoza,41.6561,-0.8773,77.45,49,0,10.0,ES,1685998805
103,vilyuchinsk,52.9306,158.4028,43.07,93,100,3.6,RU,1685998863
104,nuuk,64.1835,-51.7216,38.01,87,100,23.0,GL,1685998864
105,linxia chengguanzhen,35.6003,103.2064,54.88,67,74,4.81,CN,1685998864
106,bethel,41.3712,-73.414,74.03,49,100,1.99,US,1685998864
107,zambezi,-13.5432,23.1047,63.84,37,0,5.77,ZM,1685998864
108,iqaluit,63.7506,-68.5145,37.13,81,40,5.75,CA,1685998865
109,arraial do cabo,-22.9661,-42.0278,73.26,78,0,5.75,BR,1685998866
110,post,33.1909,-101.3782,76.98,52,100,10.4,US,1685998866
111,hizan,38.2257,42.4278,56.88,55,5,1.57,TR,1685998866
112,ariquemes,-9.9133,-63.0408,81.07,78,41,4.25,BR,1685998866
113,mirny,62.5353,113.9611,41.23,60,100,11.01,RU,1685998867
114,amga,60.8953,131.9608,49.66,77,98,5.82,RU,1685998867
115,gaiman,-43.2897,-65.4929,68.81,22,79,29.75,AR,1685998867
116,shiyan,32.6475,110.7781,57.36,89,87,5.84,CN,1685998867
117,queenstown,-31.8976,26.8753,45.16,40,99,3.53,ZA,1685998867
118,ushuaia,-54.8,-68.3,40.66,81,40,2.3,AR,1685998868
119,stornoway,58.2093,-6.3865,52.09,80,20,13.8,GB,1685998868
120,georgetown,5.4112,100.3354,82.33,85,20,9.22,MY,1685998868
121,molchanovo,57.5817,83.7692,69.08,59,19,5.17,RU,1685998868
122,guerrero negro,27.9769,-114.0611,68.72,55,42,16.46,MX,1685998693
123,serdar,38.9764,56.2757,87.6,18,2,5.84,TM,1685998869
124,port lincoln,-34.7333,135.8667,59.02,70,0,15.9,AU,1685998670
125,wailua homesteads,22.0669,-159.378,78.13,69,65,3.0,US,1685998869
126,pangody,65.85,74.4859,52.12,90,13,17.72,RU,1685998869
127,taroa,8.7058,171.2275,82.49,81,100,17.2,MH,1685998869
128,zhangye,38.9342,100.4517,63.82,48,99,3.53,CN,1685998870
129,cidade velha,14.9167,-23.6167,75.67,78,0,4.61,CV,1685998870
130,yaren,-0.5472,166.916,83.89,75,77,12.82,NR,1685998870
131,tasqala,51.1167,50.3167,57.42,83,100,14.09,KZ,1685998870
132,northam,51.0333,-4.2167,58.6,71,0,7.31,GB,1685998870
133,labrador city,52.9463,-66.9114,49.91,76,100,12.66,CA,1685998814
134,fuglafjordur,62.244,-6.814,48.67,77,82,9.24,FO,1685998871
135,lazaro cardenas,17.9583,-102.2,85.12,63,28,9.53,MX,1685998871
136,tindouf,27.6711,-8.1474,86.45,26,40,20.71,DZ,1685998871
137,mount pearl,47.5166,-52.7813,46.72,93,100,5.75,CA,1685998871
138,new norfolk,-42.7826,147.0587,51.93,97,94,2.73,AU,1685998872
139,tiksi,71.6872,128.8694,34.66,96,100,3.22,RU,1685998872
140,san patricio,28.017,-97.5169,83.91,50,44,6.87,US,1685998872
141,thinadhoo,0.5333,72.9333,83.08,72,100,5.39,MV,1685998872
142,hollins,37.3413,-79.9431,83.53,42,20,4.0,US,1685998872
143,kirensk,57.7853,108.1119,48.36,90,82,10.38,RU,1685998873
144,kingston,17.997,-76.7936,89.24,71,20,10.36,JM,1685998762
145,kilindoni,-7.9139,39.6668,79.16,76,6,11.77,TZ,1685998873
146,villa gesell,-37.2639,-56.973,51.06,62,63,9.22,AR,1685998873
147,college,64.8569,-147.8028,71.1,32,40,10.36,US,1685998873
148,waco,31.5493,-97.1467,87.15,54,40,9.22,US,1685998870
149,radhanpur,23.8333,71.6,88.14,61,0,11.39,IN,1685998874
150,baruun-urt,46.6806,113.2792,53.31,50,32,9.37,MN,1685998874
151,duayaw-nkwanta,7.1724,-2.1028,72.59,98,100,3.8,GH,1685998874
152,haugesund,59.4138,5.268,50.41,87,0,21.85,NO,1685998874
153,san julian,21.0167,-102.1667,87.04,8,0,12.17,MX,1685998875
154,kovdor,67.5662,30.4758,38.17,88,75,8.14,RU,1685998875
155,port elizabeth,-33.918,25.5701,52.09,76,0,5.75,ZA,1685998874
156,margate,51.3813,1.3862,53.87,76,10,11.01,GB,1685998875
157,tazovsky,67.4667,78.7,48.16,98,56,9.62,RU,1685998876
158,tual,-5.6667,132.75,80.8,82,43,17.02,ID,1685998876
159,puerto supe,-10.8167,-77.75,72.21,72,33,10.69,PE,1685998876
160,port alfred,-33.5906,26.891,56.7,70,100,8.1,ZA,1685998876
161,kingscliff,-28.2667,153.5667,59.77,94,100,5.75,AU,1685998876
162,turner,44.2565,-70.2562,59.88,81,100,5.01,US,1685998877
163,trinity beach,-16.7888,145.6968,74.01,96,75,10.36,AU,1685998877
164,sheksna,59.21,38.5107,46.36,76,65,7.36,RU,1685998877
165,pisco,-13.7,-76.2167,73.45,68,0,8.05,PE,1685998855
166,gaspe,48.8334,-64.4819,48.42,100,100,6.91,CA,1685998877
167,reitz,-27.8014,28.4273,43.56,33,2,4.05,ZA,1685998877
168,keflavik,64.0049,-22.5624,46.83,76,75,9.22,IS,1685998878
169,usogorsk,63.4106,48.6872,49.87,73,89,8.52,RU,1685998878
170,aljezur,37.3191,-8.8033,65.5,79,100,5.86,PT,1685998878
171,egilsstadir,65.2653,-14.3948,48.11,66,20,19.57,IS,1685998878
172,port jervis,41.3751,-74.6927,75.15,34,96,9.95,US,1685998635
173,hermanus,-34.4187,19.2345,44.8,68,50,4.21,ZA,1685998879
174,lerwick,60.1545,-1.1494,50.0,72,100,7.2,GB,1685998879
175,broken hill,-31.95,141.4333,53.55,87,0,6.82,AU,1685998879
176,ust-nera,64.5667,143.2,57.27,46,36,5.19,RU,1685998879
177,prince rupert,54.3161,-130.3201,51.89,76,100,4.61,CA,1685998879
178,atherton,53.5237,-2.4935,61.43,66,6,4.0,GB,1685998880
179,rio grande,-32.035,-52.0986,62.71,69,100,6.02,BR,1685998880
180,klyuchi,52.2667,79.1667,72.18,55,2,7.02,RU,1685998880
181,badger,64.8,-147.5333,71.01,34,40,10.36,US,1685998720
182,nzerekore,7.7562,-8.8179,74.08,84,100,1.92,GN,1685998880
183,port mathurin,-19.6833,63.4167,76.35,74,6,21.5,MU,1685998881
184,ouddorp,51.8117,3.9347,57.96,77,6,19.84,NL,1685998881
185,portales,34.1862,-103.3344,76.33,52,57,9.19,US,1685998881
186,awjilah,29.1081,21.2869,89.38,23,86,15.5,LY,1685998882
187,argo,37.6333,22.7333,69.78,63,82,3.22,GR,1685998882
188,fort bragg,35.139,-79.006,82.81,51,75,1.99,US,1685998882
189,puerto francisco de orellana,-0.4667,-76.9667,84.25,70,40,4.61,EC,1685998882
190,itoman,26.1247,127.6694,77.02,83,40,14.97,JP,1685998883
191,san carlos de bariloche,-41.1456,-71.3082,51.55,76,40,29.93,AR,1685998810
192,debila,33.5167,6.95,80.67,47,91,11.5,DZ,1685998883
193,nagqu,31.5,92.0,37.27,79,71,4.43,CN,1685998883
194,quellon,-43.1167,-73.6167,52.63,80,100,15.39,CL,1685998884
195,windhoek,-22.5594,17.0832,57.4,14,0,5.75,NA,1685998884
196,harper,4.375,-7.7169,78.4,86,100,7.56,LR,1685998884
197,ciudad lazaro cardenas,17.9583,-102.2,85.12,63,28,9.53,MX,1685998871
198,pago pago,-14.2781,-170.7025,85.19,79,20,11.5,AS,1685998885
199,iskateley,67.6803,53.1512,40.26,73,99,24.67,RU,1685998885
200,linqiong,30.4159,103.4609,71.42,68,99,1.23,CN,1685998885
201,portland,45.5234,-122.6762,82.56,32,20,12.66,US,1685998631
202,qui nhon,13.7667,109.2333,79.07,84,99,5.21,VN,1685998886
203,sitka,57.0531,-135.33,51.39,79,97,5.93,US,1685998886
204,mitchell,43.7094,-98.0298,90.1,32,0,8.05,US,1685998642
205,happy valley-goose bay,53.3168,-60.3315,66.51,37,75,19.57,CA,1685998887
206,kodinsk,58.6881,99.1844,51.53,95,100,3.53,RU,1685998887
207,tibati,6.4667,12.6333,68.09,95,100,0.89,CM,1685998887
208,st. john's,47.5649,-52.7093,47.55,93,100,5.75,CA,1685998750
209,mundybash,53.211,87.2983,62.51,73,5,2.28,RU,1685998887
210,yeraliyev,43.2,51.65,71.28,76,27,8.7,KZ,1685998888
211,shady hollow,30.1649,-97.8622,89.44,59,97,7.0,US,1685998888
212,kolonia town,6.964,158.206,83.66,76,87,10.85,FM,1685998888
213,chuka,-0.3332,37.6459,61.66,88,99,4.32,KE,1685998888
214,nakamura,32.9833,132.9333,60.19,96,100,2.71,JP,1685998889
215,lilongwe,-13.9669,33.7873,64.18,71,0,2.55,MW,1685998889
216,fisterra,42.9049,-9.2629,65.01,83,16,6.96,ES,1685998889
217,tsiombe,-25.3,45.4833,71.17,72,28,1.41,MG,1685998889
218,callao,-12.0667,-77.15,76.71,68,100,10.36,PE,1685998889
219,constantia,44.1833,28.65,54.7,62,10,9.37,RO,1685998889
220,olonkinbyen,70.9221,-8.7187,31.95,82,71,7.67,SJ,1685998890
221,tinambac,13.8164,123.3261,78.03,92,100,2.66,PH,1685998890
222,jalpan,21.2333,-99.4833,91.65,37,36,9.31,MX,1685998890
223,cabedelo,-6.9811,-34.8339,81.27,83,29,10.71,BR,1685998883
224,terracina,41.2863,13.2217,68.94,90,57,4.94,IT,1685998891
225,talara,-4.5772,-81.2719,83.16,61,0,11.5,PE,1685998891
226,atafu village,-8.5421,-172.5159,82.76,75,22,7.7,TK,1685998891
227,tromso,69.6496,18.957,43.38,75,75,5.75,NO,1685998891
228,hasaki,35.7333,140.8333,66.22,85,100,11.7,JP,1685998892
229,sirjan,29.452,55.6814,72.91,36,99,11.43,IR,1685998892
230,taunsa,30.7048,70.6505,91.22,36,60,4.14,PK,1685998892
231,hotan,37.0997,79.9269,71.1,27,97,3.15,CN,1685998892
232,tura,25.5198,90.2201,79.72,47,0,3.83,IN,1685998892
233,namdrik,5.5994,168.1028,83.66,74,55,10.67,MH,1685998893
234,nova vicosa,-17.8919,-39.3719,73.06,67,17,5.26,BR,1685998893
235,harstad,68.799,16.5293,42.19,100,100,20.0,NO,1685998893
236,hanceville,34.0607,-86.7675,88.47,45,92,4.23,US,1685998893
237,kavieng,-2.5744,150.7967,82.81,78,33,10.36,PG,1685998893
238,ulladulla,-35.35,150.4667,54.77,81,97,4.74,AU,1685998893
239,dryden,49.7833,-92.7503,70.09,73,100,6.91,CA,1685998894
240,ar ruways,24.1103,52.7306,87.01,53,0,6.91,AE,1685998894
241,colares,38.7992,-9.4469,74.88,62,0,9.22,PT,1685998894
242,cole harbour,44.6724,-63.4751,52.99,94,100,13.0,CA,1685998894
243,shimoda,34.6667,138.95,65.1,74,100,5.44,JP,1685998895
244,saipan,15.1355,145.701,81.64,100,99,11.99,MP,1685998895
245,mhamid,29.82,-5.72,90.05,19,100,6.42,MA,1685998895
246,turpan,42.9333,89.1667,84.54,14,1,3.18,CN,1685998895
247,zaozersk,69.4005,32.4476,36.57,96,100,17.6,RU,1685998895
248,gobabis,-22.45,18.9667,55.13,24,0,11.9,NA,1685998896
249,taranagar,28.6709,75.0351,90.32,37,28,6.44,IN,1685998896
